keyword_text,letter,surah,verse,word_position,verse_reference,transliteration,english_meaning,arabic_text,highlighted_word
ش أ ن,$,,,,(18:50:5),liādama,to Adam,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ,لِآدَمَ
ش أ ن,$,,,,(19:58:10),ādama,(of) Adam,أُولَٰئِكَ الَّذِينَ أَنْعَمَ اللَّهُ عَلَيْهِمْ مِنَ النَّبِيِّينَ مِنْ ذُرِّيَّةِ آدَمَ,آدَمَ
ش أ ن,$,,,,(20:115:4),ādama,Adam,وَلَقَدْ عَهِدْنَا إِلَىٰ آدَمَ مِنْ قَبْلُ فَنَسِيَ وَلَمْ نَجِدْ لَهُ عَزْمًا,آدَمَ
ش أ ن,$,,,,(20:116:5),liādama,to Adam,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ,لِآدَمَ
ش أ ن,$,,,,(20:117:2),yāādamu,O Adam,فَقُلْنَا يَا آدَمُ إِنَّ هَٰذَا عَدُوٌّ لَكَ وَلِزَوْجِكَ فَلَا يُخْرِجَنَّكُمَا,يَا آدَمُ
ش أ ن,$,,,,(20:120:5),yāādamu,O Adam,قَالَ يَا آدَمُ هَلْ أَدُلُّكَ عَلَىٰ شَجَرَةِ الْخُلْدِ وَمُلْكٍ لَا يَبْلَىٰ,يَا آدَمُ
ش أ ن,$,,,,(20:121:13),ādamu,And Adam disobeyed,وَعَصَىٰ آدَمُ رَبَّهُ فَغَوَىٰ,آدَمُ
ش أ ن,$,,,,(36:60:5),ādama,O Children of Adam,أَلَمْ أَعْهَدْ إِلَيْكُمْ يَا بَنِي آدَمَ أَنْ لَا تَعْبُدُوا الشَّيْطَانَ,آدَمَ
ش ب ه,$,,,,(2:31:2),ādama,Adam,وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ,آدَمَ
ش ب ه,$,,,,(2:33:2),yāādamu,O Adam,قَالَ يَا آدَمُ أَنْبِئْهُمْ بِأَسْمَائِهِمْ,يَا آدَمُ
ش ب ه,$,,,,(2:34:5),liādama,to Adam,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ,لِآدَمَ
ش ب ه,$,,,,(2:35:2),yāādamu,O Adam,وَقُلْنَا يَا آدَمُ اسْكُنْ أَنْتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا,يَا آدَمُ
ش ب ه,$,,,,(2:37:2),ādamu,Adam,فَتَلَقَّىٰ آدَمُ مِنْ رَبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,آدَمُ
ش ب ه,$,,,,(3:33:4),ādama,Adam,إِنَّ اللَّهَ اصْطَفَىٰ آدَمَ وَنُوحًا وَآلَ إِبْرَاهِيمَ وَآلَ عِمْرَانَ,آدَمَ
ش ب ه,$,,,,(3:59:7),ādama,(of) Adam,إِنَّ مَثَلَ عِيسَىٰ عِنْدَ اللَّهِ كَمَثَلِ آدَمَ خَلَقَهُ مِنْ تُرَابٍ,آدَمَ
ش ب ه,$,,,,(5:27:5),ādama,(of) Adam,وَاتْلُ عَلَيْهِمْ نَبَأَ ابْنَيْ آدَمَ بِالْحَقِّ إِذْ قَرَّبَا قُرْبَانًا فَتُقُبِّلَ,آدَمَ
ش ب ه,$,,,,(7:11:9),liādama,to Adam,ثُمَّ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ,لِآدَمَ
ش ب ه,$,,,,(7:19:1),wayāādamu,And O Adam,وَيَا آدَمُ اسْكُنْ أَنْتَ وَزَوْجُكَ الْجَنَّةَ فَكُلَا مِنْ حَيْثُ شِئْتُمَا,وَيَا آدَمُ
ش ب ه,$,,,,(7:26:2),ādama,(of) Adam,يَا بَنِي آدَمَ قَدْ أَنْزَلْنَا عَلَيْكُمْ لِبَاسًا يُوَارِي سَوْآتِكُمْ,آدَمَ
ش ب ه,$,,,,(7:27:2),ādama,(of) Adam,يَا بَنِي آدَمَ لَا يَفْتِنَنَّكُمُ الشَّيْطَانُ كَمَا أَخْرَجَ أَبَوَيْكُمْ مِنَ الْجَنَّةِ,آدَمَ
ش ب ه,$,,,,(7:31:2),ādama,(of) Adam,يَا بَنِي آدَمَ خُذُوا زِينَتَكُمْ عِنْدَ كُلِّ مَسْجِدٍ وَكُلُوا وَاشْرَبُوا,آدَمَ
ش ب ه,$,,,,(7:35:2),ādama,(of) Adam,يَا بَنِي آدَمَ إِمَّا يَأْتِيَنَّكُمْ رُسُلٌ مِنْكُمْ يَقُصُّونَ عَلَيْكُمْ آيَاتِي,آدَمَ
ش ب ه,$,,,,(7:172:6),ādama,(of) Adam,وَإِذْ أَخَذَ رَبُّكَ مِنْ بَنِي آدَمَ مِنْ ظُهُورِهِمْ ذُرِّيَّتَهُمْ,آدَمَ
ش ب ه,$,,,,(17:61:5),liādama,to Adam,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ,لِآدَمَ
ش ب ه,$,,,,(17:70:4),ādama,(the) children of Adam,وَلَقَدْ كَرَّمْنَا بَنِي آدَمَ وَحَمَلْنَاهُمْ فِي الْبَرِّ وَالْبَحْرِ وَرَزَقْنَاهُمْ,آدَمَ
ش ب ه,$,,,,(18:50:5),liādama,to Adam,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ,لِآدَمَ
ش ب ه,$,,,,(19:58:10),ādama,(of) Adam,أُولَٰئِكَ الَّذِينَ أَنْعَمَ اللَّهُ عَلَيْهِمْ مِنَ النَّبِيِّينَ مِنْ ذُرِّيَّةِ آدَمَ,آدَمَ
ش ب ه,$,,,,(20:115:4),ādama,Adam,وَلَقَدْ عَهِدْنَا إِلَىٰ آدَمَ مِنْ قَبْلُ فَنَسِيَ وَلَمْ نَجِدْ لَهُ عَزْمًا,آدَمَ
ش ب ه,$,,,,(20:116:5),liādama,to Adam,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ,لِآدَمَ
ش ب ه,$,,,,(20:117:2),yāādamu,O Adam,فَقُلْنَا يَا آدَمُ إِنَّ هَٰذَا عَدُوٌّ لَكَ وَلِزَوْجِكَ فَلَا يُخْرِجَنَّكُمَا,يَا آدَمُ
ش ب ه,$,,,,(20:120:5),yāādamu,O Adam,قَالَ يَا آدَمُ هَلْ أَدُلُّكَ عَلَىٰ شَجَرَةِ الْخُلْدِ وَمُلْكٍ لَا يَبْلَىٰ,يَا آدَمُ
ش ب ه,$,,,,(20:121:13),ādamu,And Adam disobeyed,وَعَصَىٰ آدَمُ رَبَّهُ فَغَوَىٰ,آدَمُ
ش ب ه,$,,,,(36:60:5),ādama,O Children of Adam,أَلَمْ أَعْهَدْ إِلَيْكُمْ يَا بَنِي آدَمَ أَنْ لَا تَعْبُدُوا الشَّيْطَانَ,آدَمَ
